air_date,round,category,value,question,answer
5/22/09,Final Jeopardy!,20th CENTURY POLITICS,,"On September 23, 1952 some 60 million people, the largest TV audience to that time, tuned in for this live address",the Checkers Speech
12/30/02,Final Jeopardy!,BUSINESS GIANTS,,"Highly diversified, it's the only co. in the Dow Jones Industrial Average that was included in the original index of 1896",General Electric
9/5/01,Final Jeopardy!,19th CENTURY AUTHORS,,"D.H. Lawrence called him ""an adventurer into the vaults and... horrible underground passages of the human soul""",Edgar Allan Poe
5/31/90,Final Jeopardy!,GEOGRAPHY,,It's the southernmost independent country in the world,Chile (which goes down around Tierra Del Fuego & sweeps a little south of Argentina)
1/27/03,Final Jeopardy!,THE TOWER OF LONDON,,"Only prisoners of high rank were executed <a href=""http://www.j-archive.com/media/2003-01-27_FJ.jpg"" target=""_blank"">here</a> on Tower Green, & this woman was the first queen beheaded here",Anne Boleyn
2/25/00,Final Jeopardy!,THEATRE,,"In 1999 Del Close willed this to the Goodman Theatre in Chicago to be used in Act 5, Scene 1 of ""Hamlet""","His own skull (to be used in the scene, \""Alas, poor Yorick...\"")"
9/21/98,Final Jeopardy!,HOTELS,,The U.S. investigation into the Titanic was first held in this hotel owned by one of the victims,Waldorf Astoria
9/11/08,Final Jeopardy!,LINES FROM 19th CENTURY NOVELS,,"""My two natures had memory in common, but all other faculties were most unequally shared between them""",Strange Case of Dr Jekyll and Mr Hyde
7/2/98,Final Jeopardy!,AMERICAN ARTISTS,,"From 1919 to 1924, this artist taught art in the public schools of Cedar Rapids, Iowa",Grant Wood
1/11/90,Final Jeopardy!,ORGANIZATIONS,,"It moved its HQ from Savannah to Wash. D.C. in 1913, & in 1917 began making each First Lady honorary pres.",The Girl Scouts of the U.S.A.
5/22/08,Final Jeopardy!,EARLY 20th CENTURY PLAYS,,"Its preface says, ""The English have no respect for their language, & will not teach their children to speak it""",Pygmalion
4/24/00,Final Jeopardy!,PLAYS & PLAYWRIGHTS,,"Playwright who wrote the historical dramas ""Erik XIV"", ""Gustav Adolf"" & ""Gustav Vasa""",August Strindberg
5/8/01,Final Jeopardy!,STATE CAPITALS,,1 of the 2 U.S. state capitals that begin with the names of months,"(1 of 2) Juneau, Alaska or Augusta, Maine"
2/5/99,Final Jeopardy!,AMERICAN LITERATURE,,The book of Jonah is quoted before chapter one of this 1851 novel,Moby-Dick
11/7/91,Final Jeopardy!,THE BIBLE,,"The English title of this book is a translation of the Greek word ""arithmoi""",Numbers
10/22/01,Final Jeopardy!,INTERNATIONAL COASTLINES,,It's the only country bordering the Caspian Sea that was not a member of the Soviet Union,Iran
1/18/00,Final Jeopardy!,IN THE NEWS,,"The U.N. designated October 12, 1999 as the date the Earth's population reached this figure",6 billion
4/14/00,Final Jeopardy!,POTENT POTABLES,,"Founded in Cuba in 1862, it's the world's bestselling brand of spirits",Bacardi
4/6/90,Final Jeopardy!,MONEY,,Country whose basic monetary unit is the Balboa,Panama
7/22/11,Final Jeopardy!,FAMOUS AMERICANS,,"In 1909 he sent the message ""Stars and Stripes nailed to the pole""",Robert Peary
3/4/99,Final Jeopardy!,TELEVISION ACTORS,,"Starting in 1984, he's played the same character continuously on 2 primetime shows over the last 15 seasons",Kelsey Grammer (Dr. Frasier Crane on Cheers & Frasier)
5/23/89,Final Jeopardy!,LITERATURE,,It's where Philip Nolan asked to be buried,at sea
3/26/09,Final Jeopardy!,16th CENTURY THINKERS,,"In 1517 he wrote, ""The treasures of indulgences are nets with which they now fish for the wealth of men""",Martin Luther
2/22/00,Final Jeopardy!,U.S. SENATORS,,This former Navy Seal is the only current member of Congress who has earned the Medal of Honor,Robert Kerrey
12/24/86,Final Jeopardy!,4-LETTER WORDS,,"The two 4-letter words found on a U.S. penny, one in English, one not",cent & unum
1/26/11,Final Jeopardy!,AFRICA,,Its Declaration of Independence was signed in 1847 by 11 men in that nation's Providence Baptist Church,Liberia
5/30/00,Final Jeopardy!,ACTORS,,"While pregnant with him, the mother of this actor, gazing at the Uffizi's art, 1st felt him move, hence his 1st name",Leonardo DiCaprio
2/8/99,Final Jeopardy!,HISTORIC NAMES,,He was the son of an Irish immigrant who was the Viceroy of Peru,Bernardo O' Higgins
7/16/09,Final Jeopardy!,WOMEN AUTHORS,,"As a child, she liked to play witches & wizards with her friends Ian & Vikki Potter",J.K. Rowling
10/29/97,Final Jeopardy!,SAME LAST NAMES,,"The 2 founders of a textbook publishing house, or the pair who sang the country hit ""It's Your Love""",McGraw and Hill
2/6/90,Final Jeopardy!,LANDMARKS,,"Slated for demolition, it held 2 madmen, 4 forgers & a nobleman when the mob came for its gunpowder",The Bastille
2/6/04,Final Jeopardy!,19th CENTURY PHILOSOPHY,,"This 3-word quote, originally in German, comes soon after ""We have killed him -- you and I, all of us are his murderers""","\""God is dead\"""
9/21/10,Final Jeopardy!,SPORTS & THE MEDIA,,"On Feb. 8, 2010 the headline in a major newspaper in this city read, ""Amen! After 43 Years, Our Prayers Are Answered""",New Orleans
6/20/00,Final Jeopardy!,U.S. PAPER CURRENCY,,"With one of each of the Treasury's currently produced denominations, you'd have this much money",$188.00
2/23/09,Final Jeopardy!,WORLD RIVERS,,"With 4, more national capitals are located on this river than any other river in the world",the Danube
2/21/08,Final Jeopardy!,FAMOUS AMERICANS,,"In 1733 he wrote, ""The heart of a fool is in his mouth, but the mouth of a wise man is in his heart""",Benjamin Franklin
7/24/08,Final Jeopardy!,FAMOUS NAMES,,"In 1906 he launched Conjurer's Monthly, a magazine that he pretty much wrote & edited himself",Harry Houdini
10/21/05,Final Jeopardy!,19th CENTURY LITERARY CHARACTERS,,"Hanged in an 1837 novel, he so angered some Londoners that his creator toned him down in future editions",Fagin
12/4/01,Final Jeopardy!,CLIMATE TERMS,,"From the Latin for ""restraint"", these zones extend 900 miles north & south of the tropics",temperate zones
6/14/01,Final Jeopardy!,HISTORIC ENGLISHMEN,,"A Punch cartoon showed this man like an ancient wonder standing over Africa, one foot on the Cape, one on Cairo",Cecil Rhodes
6/8/09,Final Jeopardy!,ACTING FAMILIES,,"Last name of the father & son actors who have played 2 different real U.S. presidents, one on film & one on TV",Brolin
11/25/97,Final Jeopardy!,NOVELS,,"Critic Malcolm Cowley called it ""A fable of the 1920s that has survived as a legend for other times""",The Great Gatsby
4/14/03,Final Jeopardy!,MOUNTAINS,,"All of the mountains in the U.S. over 14,500 feet are in this state",Alaska
11/24/95,Final Jeopardy!,U.S. PRESIDENTS,,1 of 3 U.S. presidents in the 20th c. who never had a house of Congress controlled by his party,"(1 of) Richard Nixon, Gerald Ford & George Bush"
2/26/97,Final Jeopardy!,HISTORIC AMERICANS,,In 1788 Cyrus Griffin became its last president,The Continental Congress
5/15/07,Final Jeopardy!,TRAVEL EUROPE,,"(<a href=""http://www.j-archive.com/media/2007-05-15_FJ.jpg"" target=""_blank"">Sarah of the Clue Crew gives the clue while aboard the Orient Express.</a>) Today, the Orient Express' Paris-Istanbul run crosses 5 countries between France and Turkey; these are 3 of them","(3 of) Switzerland, Austria, Hungary, Romania & Bulgaria"
1/23/12,Final Jeopardy!,AMERICAN HISTORY,,This volunteer group was born in may 1898 near the bar in San Antonio's Menger Hotel; it existed for just 133 days,the Rough Riders
3/19/97,Final Jeopardy!,OSCAR WINNERS,,The only person -- male or female -- to win Oscars in acting & screenwriting categories,Emma Thompson
2/22/10,Final Jeopardy!,KINGS & LITERATURE,,"Though called ""the most hapless of monarchs"", this king is in the title of Shakespeare's only trilogy",Henry VI
11/15/02,Final Jeopardy!,BIOGRAPHIES,,"A 2001 biography of this man is subtitled ""Pioneer of the Mind""",Sigmund Freud
9/3/01,Final Jeopardy!,AUTOMOTIVE HISTORY,,This Ford with a name from Native American myth was the first model to be Motor Trend Car of the Year,the Thunderbird
6/4/03,Final Jeopardy!,MAP READING,,It's the latitude of the South Pole,90 degrees south
1/6/03,Final Jeopardy!,STATE CAPITALS,,"One of the 2 state capitals whose names end with the letter ""U""","(1 of 2) Juneau, Alaska or Honolulu, Hawaii"
1/16/08,Final Jeopardy!,FOREIGN FILMS,,"A series of novels includes ""Iron Knight, Silver Vase"", ""Precious Sword, Golden Hairpin"" & this one, made into a film in 2000","Crouching Tiger, Hidden Dragon"
12/1/99,Final Jeopardy!,WORLD CITIES,,"Around 59 B.C. the Romans settled what is now this city, & gave it a Latin name that means ""blossoming""",Florence
10/2/85,Final Jeopardy!,THE CONTINENTS,,"Of the 7, this continent has the greatest number of independent countries",Africa
4/21/04,Final Jeopardy!,19th CENTURY ART & HISTORY,,"The red sky in Munch's ""The Scream"" may be from the debris in the Oslo air from this volcano half a world away",Krakatoa
3/12/07,Final Jeopardy!,WORD ORIGINS,,"Named for a Mediterranean country, this style of typography is based on a Renaissance script",italics
2/13/08,Final Jeopardy!,THE ANIMAL WORLD,,"C. familiaris, it has one of the largest size ranges, from a 2-pound Mexican variety to 200 pounders",a dog
4/11/06,Final Jeopardy!,THE EARLY 1900s,,These 2 nations fought a war on neither nation's soil; the decisive battle came at present-day Shen-Yang,Russia & Japan
12/7/00,Final Jeopardy!,POLITICIANS,,In 1928 this oilman served as chairman of the Republican State Central Committee of Kansas,Alf Landon
3/17/03,Final Jeopardy!,SCIENCE,,"As it has no mass, this particle travels at about 186,000 miles per second",photon
5/21/98,Final Jeopardy!,AROUND THE WORLD,,"Besides Great Britain, the 2 European countries through which the Greenwich Meridian passes",France & Spain
10/29/92,Final Jeopardy!,U.S. PRESIDENTS,,The first two presidents not born in Virginia were born in what is now this state,Massachusetts
7/26/06,Final Jeopardy!,AFRICAN CAPITALS,,"To get the name of its country, add 2 letters to the end of this world capital city",Tunis
3/1/10,Final Jeopardy!,NOTORIOUS,,"Often described as a redhead, this accused killer called her hair light brown on her 1890 passport application",Lizzie Borden
6/16/03,Final Jeopardy!,BUSINESS BIGGIES,,"Founded in 1898 when several cracker companies merged, in 2000 it passed from one tobacco company to another",Nabisco (it went from R.J. Reynolds to Philip Morris)
10/14/99,Final Jeopardy!,MAGAZINES,,"The title of this women's magazine that turned 60 in 1999 used to end with ""Of Hollywood""",Glamour
1/2/97,Final Jeopardy!,WORD ORIGINS,,"This word is from the Old English for ""The farmer who lives near you""",Neighbor
1/12/12,Final Jeopardy!,WOMEN AUTHORS,,1 of the 2 American women authors nominated for the Nobel Prize for Literature in 1938,Pearl S. Buck (or) Margaret Mitchell
12/6/06,Final Jeopardy!,FAMOUS NEW YORKERS,,"In 1905 he said, ""It is my duty to make money and still more money and to use the money... for the good of my fellow man""",John D. Rockefeller
6/9/98,Final Jeopardy!,BASKETBALL,,2 of the 3 NBA teams whose names don't end with the letter S,"Miami Heat, Orlando Magic &/or Utah Jazz"
5/28/08,Final Jeopardy!,20th CENTURY LEADERS,,"He said, ""An appeaser is one who feeds a crocodile, hoping it will eat him last""",Winston Churchill
2/4/03,Final Jeopardy!,INTERNATIONAL GEOGRAPHIC,,"By size, it's the largest country that borders only one other country",Canada (borders only the United States)
11/28/06,Final Jeopardy!,ASIA,,"Along with Communist China and North Korea, one of the 2 formerly Communist nations bordering Asian Russia",(1 of) Kazakhstan & Mongolia
10/15/98,Final Jeopardy!,BRITISH AUTHORS,,"Among the poems this British novelist wrote in the 1920s were ""Men In New Mexico"" & ""Autumn At Taos""",DH Lawrence
4/14/09,Final Jeopardy!,COLLEGES & UNIVERSITIES,,This 2-word term for a famous group of colleges 1st appeared in an AP story that ran in the Providence Journal in 1935,Ivy League
2/3/98,Final Jeopardy!,ASIAN NATIONS,,"In population, it's the largest country that's not a member of the United Nations",Taiwan (Republic of China)
9/16/97,Final Jeopardy!,NEW ENGLAND COLONISTS,,"Thomas Morton of Merry Mount was arrested in 1628 by this neighbor & pilgrim he called ""Captaine Shrimp""",Miles Standish
10/17/07,Final Jeopardy!,THE EARTH,,"As Earth wobbles slowly on its axis, this moves in a ""Chandler Circle"" with a diameter of about 1 to 70 feet",the North Pole
6/16/98,Final Jeopardy!,LATIN PHRASES,,"It can refer to the host used in the Eucharist, or a city southwest of Houston","Corpus Christi, Texas"
5/11/10,Final Jeopardy!,WORDS IN THE BIBLE,,In Genesis 2:24 these 2 words are what a man shall do to his parents & then to his wife; add a letter to 1 to get the other,leave & cleave
11/9/05,Final Jeopardy!,STATE CAPITALS,,"5 state capitals, all of them on or west of the Mississippi, begin with these 2 letters",S-A
12/11/01,Final Jeopardy!,ENTERTAINERS,,"Interviewed on ""60 Minutes"" in 2001, he said, ""It's been one of my lifelong jobs...to make the world laugh at Adolf Hitler""",Mel Brooks
6/27/03,Final Jeopardy!,SONG TITLES,,The inspiration for this 1964 hit posed alone for the Brazil edition of Playboy in 1987 & with her daughter in 2003,"\""The Girl from Ipanema\"""
10/3/05,Final Jeopardy!,PRESIDENTIAL RELATIVES,,He defended civil rights as a representative from Massachusetts' 11th District from 1895 to 1901,John Francis Fitzgerald
11/17/08,Final Jeopardy!,19th CENTURY POLITICS,,"When the GOP convened in 1888, he became the 1st black man to earn a vote for president at a major party convention",Frederick Douglass
1/20/05,Final Jeopardy!,BESTSELLING NOVELS,,"Today, many who visit Santa Maria delle Grazie Church admit doing so because of this 2003 No. 1 bestseller",The Da Vinci Code
6/2/98,Final Jeopardy!,COMPOSERS,,"When ""Fantasia"" was released in 1940, he was the only one of its composers still alive to hear his music",Igor Stravinsky
11/12/92,Final Jeopardy!,POLAND,,"Laid to rest temporarily at Arlington in 1941, his remains were returned to Poland in 1992",Jan Paderewski
10/12/99,Final Jeopardy!,MODERN SCIENCE,,"On January 12, 1998 19 European nations endorsed the first international ban of this practice on humans",Cloning
9/12/08,Final Jeopardy!,ROYALTY,,"It's the name of today's longest-ruling family in Europe, in power for most of the last 711 years",Grimaldi
7/7/06,Final Jeopardy!,STATE FLAGS,,"Its state flag, based on a design from 1776, shows Virtue, dressed like an Amazon, triumphing over Tyranny",Virginia
7/20/09,Final Jeopardy!,POETS ON POETS,,"Longfellow began a poem about this earlier poet, ""Tuscan, that wanderest through the realms of gloom""",Dante Alighieri
7/6/09,Final Jeopardy!,NAPOLEON,,Napoleon died before some of his officers could sneak him to this U.S. state where his death mask now resides,Louisiana
